sample_id,sample_alias,fun_experiment_id,bac_experiment_id,bioproject_id
e490eb5ba7c8,PID018,ERX3345553,ERX3345498,PRJEB32265
aa9e752e7095,PID021,ERX3345554,ERX3345499,PRJEB32265
9b8c09d0428d,PID022,ERX3345555,ERX3345500,PRJEB32265
9059204db048,PID023,ERX3345556,ERX3345501,PRJEB32265
15d26c84a44c,PID024,ERX3345557,ERX3345502,PRJEB32265
a31265905641,PID025,ERX3345558,ERX3345503,PRJEB32265
1674c88d7a82,PID026,ERX3345559,ERX3345504,PRJEB32265
c608b78ad787,PID027,ERX3345560,ERX3345505,PRJEB32265
d3196a179f1e,PID028,ERX3345561,ERX3345506,PRJEB32265
94365e51644c,PID029,ERX3345562,ERX3345507,PRJEB32265
953e4c41b3eb,PID030,ERX3345563,ERX3345508,PRJEB32265
f0fa325a8a05,PID031,ERX3345564,ERX3345509,PRJEB32265
f1bf02ae960b,PID032,ERX3345565,ERX3345510,PRJEB32265
4a8d9a20ade3,PID033,ERX3345566,ERX3345511,PRJEB32265
50ecf302dd01,PID034,ERX3345567,ERX3345512,PRJEB32265
97742745363e,PID035,ERX3345568,ERX3345513,PRJEB32265
d0e732dec136,PID036,ERX3345569,ERX3345514,PRJEB32265
5b902e6e5023,PID037,ERX3345570,ERX3345515,PRJEB32265
4fb07c31e028,PID038,ERX3345571,ERX3345516,PRJEB32265
45aa0efad360,PID041,ERX3345572,ERX3345517,PRJEB32265
9592a59d4738,PID042,ERX3345573,ERX3345518,PRJEB32265
4822f0f1f54a,PID043,ERX3345574,ERX3345519,PRJEB32265
081be398c301,PID044,ERX3345575,ERX3345520,PRJEB32265
41e463d6034c,PID045,ERX3345576,ERX3345521,PRJEB32265
334de05bc4d3,PID046,ERX3345577,ERX3345522,PRJEB32265
be06c8ab78fd,PID047,ERX3345578,ERX3345523,PRJEB32265
b2c2744881ce,PID048,ERX3345579,ERX3345524,PRJEB32265
585ea2bec668,PID049,ERX3345580,ERX3345525,PRJEB32265
703fb694c508,PID050,ERX3345581,ERX3345526,PRJEB32265
dba3fb6b87e8,PID051,ERX3345582,ERX3345527,PRJEB32265
982e9bdace6c,PID052,ERX3345583,ERX3345528,PRJEB32265
d5193c4dbe67,PID053,ERX3345584,ERX3345529,PRJEB32265
af0fd6ab16d4,PID055,ERX3345585,ERX3345530,PRJEB32265
92c3170361fe,LosAngeles_1_InducedSputum,SRX531466,SRX5380651,PRJNA241408_PRJNA522449
59e8534f0728,LosAngeles_10_BronchoalveolarLavage,SRX531499,SRX5380642,PRJNA241408_PRJNA522449
eef31ac9565b,LosAngeles_11_BronchoalveolarLavage,SRX531502,SRX5380631,PRJNA241408_PRJNA522449
0718f29208da,LosAngeles_12_BronchoalveolarLavage,SRX531505,SRX5380632,PRJNA241408_PRJNA522449
feed5a776d97,LosAngeles_13_BronchoalveolarLavage,SRX531508,SRX5380738,PRJNA241408_PRJNA522449
1cced7f67e8d,LosAngeles_14_BronchoalveolarLavage,SRX531513,SRX5380716,PRJNA241408_PRJNA522449
ccd6b2128555,LosAngeles_15_BronchoalveolarLavage,SRX531517,SRX5380719,PRJNA241408_PRJNA522449
1a318f7a7fc9,LosAngeles_16_BronchoalveolarLavage,SRX531522,SRX5380655,PRJNA241408_PRJNA522449
f8c84fa333b6,LosAngeles_17_BronchoalveolarLavage,SRX531525,SRX5380643,PRJNA241408_PRJNA522449
b2a636420a31,LosAngeles_17_InducedSputum,SRX531526,SRX5380690,PRJNA241408_PRJNA522449
3db49bfce10a,LosAngeles_18_BronchoalveolarLavage,SRX531529,SRX5380725,PRJNA241408_PRJNA522449
9a16f468f504,LosAngeles_18_InducedSputum,SRX531530,SRX5380726,PRJNA241408_PRJNA522449
3c7015ee909f,LosAngeles_3_BronchoalveolarLavage,SRX531470,SRX5380679,PRJNA241408_PRJNA522449
5a36399330c9,LosAngeles_4_InducedSputum,SRX531475,SRX5380648,PRJNA241408_PRJNA522449
1a55c9778b48,LosAngeles_5_BronchoalveolarLavage,SRX531478,SRX5380616,PRJNA241408_PRJNA522449
82435a7d7bf0,LosAngeles_5_InducedSputum,SRX531479,SRX5380649,PRJNA241408_PRJNA522449
e9c9c2195fc6,LosAngeles_6_BronchoalveolarLavage,SRX531483,SRX5380618,PRJNA241408_PRJNA522449
7c3bcd5f58be,LosAngeles_6_InducedSputum,SRX531484,SRX5380654,PRJNA241408_PRJNA522449
42d596336215,LosAngeles_7_BronchoalveolarLavage,SRX531487,SRX5380622,PRJNA241408_PRJNA522449
fe0f39d8fb5f,LosAngeles_8_BronchoalveolarLavage,SRX531491,SRX5380635,PRJNA241408_PRJNA522449
792cc7bb53ed,LosAngeles_9_BronchoalveolarLavage,SRX531495,SRX5380704,PRJNA241408_PRJNA522449
5de750cd0b21,LosAngeles_9_InducedSputum,SRX531496,SRX5380702,PRJNA241408_PRJNA522449
